875 821
575 833 -685
510 290 -616
700 545 146
519 500 656
7 549 305
372 287 -422
790 769 -51
393 678 -694
766 808 -75
145 198 934
175 312 -609
6 671 667
479 752 -590
315 406 243
342 674 -861
265 125 863
442 812 715
812 798 420
850 495 716
224 66 -344
717 175 -572
564 488 193
323 64 -64
533 109 -466
547 801 -687
52 461 253
168 428 -72
796 782 204
610 872 690
402 372 859
507 233 -362
872 213 -920
605 348 65
338 724 -285
578 850 -995
465 741 -320
690 640 484
91 160 -577
300 133 582
789 379 -649
322 617 -219
445 274 404
505 422 -37
187 320 -258
404 538 473
511 600 187
401 234 -843
40 127 374
771 614 505
466 337 776
748 557 -115
536 748 -96
669 562 -938
760 502 -859
644 273 296
629 848 -649
473 126 -979
196 580 784
718 835 339
164 835 -10
607 192 483
229 167 -703
68 491 -862
797 99 100
583 810 518
459 330 127
319 829 35
411 712 -453
332 450 831
801 589 -475
533 357 -145
467 110 203
851 539 -609
467 614 86
311 264 -867
127 676 724
844 366 29
202 650 -413
567 97 815
870 206 -412
78 793 137
409 519 -734
706 532 31
491 132 -831
266 739 192
701 716 489
385 171 293
840 871 -527
380 785 -214
707 128 349
430 478 -993
408 2 -614
606 122 -432
99 604 -350
841 598 409
367 737 983
760 640 -104
185 649 -201
263 633 -906
189 204 977
224 171 202
93 666 674
164 343 399
654 163 763
543 781 503
251 862 -621
659 302 -696
566 276 667
517 786 207
183 862 482
301 99 -260
313 464 44
21 562 769
721 704 363
70 556 125
669 209 746
211 763 -841
645 149 61
316 810 467
533 517 -953
789 136 -379
573 730 -284
736 504 40
662 10 -383
57 112 -793
692 661 -77
318 699 -155
117 633 157
130 792 -357
436 374 589
545 735 875
546 503 326
111 617 -834
352 299 -77
423 633 60
351 781 76
695 715 -52
207 470 -661
490 265 -303
184 190 -440
209 386 -781
810 572 -85
717 35 389
313 357 -762
657 518 8
46 809 310
4 411 526
232 391 -886
404 528 -558
677 11 99
349 15 -400
543 460 574
128 794 -276
286 553 369
523 141 810
12 496 -372
433 581 -87
384 629 767
351 427 -168
768 579 443
594 166 -45
521 588 -116
326 28 972
30 1 197
570 318 -583
637 81 472
738 805 633
37 828 800
70 124 842
838 182 653
574 197 340
199 511 767
365 9 -118
685 832 616
165 233 -410
634 780 -832
317 36 189
706 500 -329
306 47 -587
623 659 916
23 44 -977
868 137 -550
339 857 195
349 749 -520
546 827 -886
858 457 -958
723 253 -45
587 180 408
238 79 -671
426 668 365
449 626 714
592 586 66
37 722 447
330 522 614
508 568 -819
568 250 -38
152 56 991
573 219 -612
733 812 -401
32 747 75
607 136 -998
837 11 -748
61 120 -53
69 797 573
356 563 845
705 853 127
208 229 -848
294 533 301
153 34 590
495 103 -898
162 356 -831
599 557 -394
88 366 -550
667 56 766
845 863 195
734 391 -51
7 390 240
433 830 825
236 127 406
685 562 -927
12 221 633
797 468 -118
434 295 -356
157 592 -67
692 465 -100
62 682 770
6 70 -974
452 711 210
602 595 995
347 698 558
772 680 -760
495 683 -665
37 732 363
480 456 -195
798 424 928
650 177 433
707 853 708
75 430 8
427 441 -690
830 816 -599
452 273 448
452 338 -251
383 796 -986
59 802 -753
658 402 280
316 860 -253
346 585 637
78 856 -188
108 589 996
620 856 -504
284 327 -728
65 793 406
169 221 211
412 702 61
289 32 -111
271 16 432
324 416 456
356 525 -369
639 400 970
652 453 -731
175 222 -143
699 354 947
430 458 -103
288 157 609
450 651 530
551 821 -470
262 441 601
394 265 -756
541 794 -3
263 185 -925
523 392 729
92 446 -505
527 316 96
833 677 633
238 863 -937
565 847 5
421 574 -872
375 103 -306
133 707 902
722 128 657
810 83 652
710 272 809
106 748 -329
596 106 -2
310 255 -514
855 194 -298
428 100 369
225 115 -861
499 407 879
575 103 868
142 738 -964
273 17 408
84 139 454
43 164 775
177 225 709
1 321 195
250 24 978
818 513 -619
791 396 368
780 258 268
277 238 -969
66 362 686
341 301 681
428 129 592
814 143 304
72 788 -951
569 857 287
470 814 -101
251 388 707
42 263 -432
129 259 -475
51 667 649
178 672 -118
221 287 -838
270 763 -916
17 293 -610
584 836 -579
471 257 -413
338 482 -13
801 351 516
340 471 -562
151 394 949
240 623 144
331 61 -163
789 87 395
612 21 241
557 836 -622
367 445 520
176 205 144
626 2 -916
99 778 -858
462 311 -500
579 644 -517
112 399 534
13 858 -849
387 1 671
785 200 53
212 711 -991
509 305 -263
749 84 -828
531 335 840
157 552 -230
446 182 720
644 26 396
591 541 -60
555 326 938
524 376 868
808 30 851
211 784 5
76 612 -28
148 391 -369
510 839 -401
357 415 -235
683 339 455
486 328 884
245 582 860
171 786 715
160 659 -254
380 776 620
214 868 825
314 482 -280
664 780 -884
218 467 88
156 329 -2
571 559 788
194 845 93
298 394 -74
607 739 444
125 515 920
61 55 522
325 354 278
214 361 8
169 75 -217
219 834 308
551 5 -429
519 401 419
529 428 384
42 709 383
254 633 -530
549 191 -235
346 860 569
634 222 -775
416 649 -644
439 509 -740
859 243 698
526 24 676
669 781 -752
862 409 994
634 262 864
330 493 -873
70 241 -239
1 649 595
207 209 -621
471 118 -353
30 321 -863
659 267 -912
380 756 -904
492 531 37
477 696 788
851 172 907
808 582 -227
398 586 -366
552 452 479
109 200 396
272 455 -415
715 272 560
704 680 -604
9 191 -85
448 813 -630
384 300 976
242 184 -849
698 546 -549
539 417 296
838 782 -114
181 609 546
161 225 705
721 339 -584
815 610 367
469 392 142
212 568 556
791 648 810
222 30 -425
225 132 55
823 598 -464
105 371 286
763 416 -304
370 266 -640
869 424 -552
597 621 -556
708 436 998
722 416 -179
300 305 -341
659 706 563
451 570 85
562 81 473
292 230 -97
593 795 204
671 273 -791
615 308 -695
253 321 391
571 320 -989
429 665 -601
851 469 874
658 292 -962
117 157 748
111 145 208
295 45 -760
389 111 1
625 24 -657
705 69 681
308 431 856
808 630 869
298 178 788
301 481 531
301 356 -506
818 183 930
819 456 -919
299 386 -612
186 321 388
287 561 -287
479 720 -112
795 755 200
414 406 -133
35 137 755
266 637 -59
502 714 890
331 211 -166
640 835 -916
271 326 -581
197 577 -635
493 208 -967
731 376 37
421 284 976
547 742 27
86 404 559
330 641 -609
401 280 -670
402 486 448
97 202 -72
446 781 -335
424 696 -774
434 346 -278
30 268 228
286 395 -147
784 850 74
665 307 -318
717 721 982
168 667 -182
230 664 886
842 330 -526
629 65 413
35 301 812
422 272 431
363 367 94
286 37 -122
860 714 -858
637 482 706
445 260 437
707 848 325
175 165 35
162 93 -648
69 435 574
531 187 -876
721 762 2
65 42 -263
515 64 302
827 501 -808
120 234 242
92 699 960
342 539 -967
68 394 787
484 555 343
425 173 -233
631 206 -518
86 30 -587
496 35 775
456 380 -938
406 394 719
142 440 53
238 405 258
752 436 -38
626 295 -464
250 831 -77
685 259 -384
410 327 -23
72 802 116
795 844 613
593 607 507
858 540 820
509 240 -964
835 162 619
304 216 577
198 195 -339
298 367 270
449 571 887
80 32 -564
397 815 893
827 385 -286
344 725 776
804 784 -517
591 635 650
600 369 777
170 269 -51
581 410 -625
168 172 834
278 823 238
611 191 333
489 290 -665
670 66 860
6 848 643
127 677 974
611 625 -176
420 541 -466
103 730 795
264 126 857
292 3 -273
475 671 -923
728 377 -705
469 850 705
130 788 154
581 232 736
807 273 899
289 210 -861
774 153 144
409 579 -3
707 747 789
573 793 256
191 77 -611
124 83 -751
281 533 -607
816 239 -213
451 230 481
100 822 -897
346 586 -340
124 693 212
566 13 759
591 381 -467
344 212 549
173 291 766
784 132 -421
353 6 233
341 202 -225
444 570 -812
756 133 -360
801 119 61
847 576 -995
9 122 189
546 57 -991
717 572 -209
433 328 668
596 264 784
605 542 -359
299 323 672
782 467 616
176 769 876
620 354 479
727 694 -925
9 217 20
756 858 -166
493 488 -344
178 262 -254
721 144 -999
491 727 571
278 422 -146
531 632 874
133 589 281
796 474 738
449 18 -149
249 821 95
184 183 619
554 802 -834
842 672 -757
240 511 -987
24 787 685
694 588 705
664 875 746
827 792 -705
806 863 202
47 816 -866
683 576 844
603 369 880
837 644 588
227 585 321
500 508 -486
64 448 -251
21 764 -865
259 642 125
121 49 296
540 214 -479
587 594 869
298 436 -964
198 239 543
213 401 565
456 741 -150
749 316 -105
823 288 320
677 155 337
407 46 893
283 50 375
722 388 -180
82 566 -818
583 8 -335
484 188 -773
18 61 424
444 769 493
825 704 410
347 581 -833
88 161 765
846 606 569
377 523 375
252 776 228
403 574 -99
588 377 190
650 606 521
836 36 519
46 698 899
448 813 580
275 204 -877
456 693 504
118 608 40
816 364 0
318 248 276
129 716 -213
88 670 356
662 185 -847
687 80 298
235 253 344
786 805 141
55 487 341
798 342 738
124 361 -542
775 140 736
385 30 613
151 217 -478
765 647 495
25 250 -18
691 640 -51
450 764 134
49 117 205
180 606 -18
661 850 -518
426 236 997
795 663 791
516 527 341
320 314 -297
495 211 680
779 449 -75
634 471 -160
284 473 -648
793 227 964
724 230 87
485 756 66
612 33 735
609 536 -43
121 849 260
737 369 -843
28 741 363
523 118 633
188 257 821
398 208 -713
510 160 -571
705 267 381
514 838 992
424 557 615
712 204 786
390 274 -675
644 811 -823
496 376 -591
382 432 196
438 641 -884
808 115 -605
100 471 -486
257 584 512
606 752 -453
538 790 -143
559 774 174
466 236 633
230 13 -547
256 364 -988
628 325 -990
585 495 91
178 61 -618
209 757 -943
495 200 -368
90 357 -815
520 177 874
671 513 90
284 180 -623
331 330 143
513 276 -167
457 754 117
537 386 620
225 718 805
391 769 -461
380 8 60
422 283 -746
396 598 -668
320 756 -449
805 587 -568
543 413 -659
756 421 -488
781 250 646
576 223 -986
118 103 470
1 263 -588
714 223 99
132 39 822
414 606 686
87 763 -862
241 338 -723
429 669 -558
592 357 420
100 648 -940
3 348 -648
758 482 613
731 570 -789
260 427 -85
337 756 -624
31 296 536
767 257 904
452 311 48
88 250 -112
78 365 690
513 655 -407
704 405 932
576 820 -780
863 237 -374
11 9 -714
824 195 -814
321 639 436
172 411 984
57 222 -144
701 445 857
680 698 836
2 760 -516
215 658 489
662 73 748
148 200 14
796 215 -848
13 11 267
47 632 339
772 756 66
408 294 423
133 37 -785
457 127 -505
369 738 123
634 243 -917
817 778 221
616 315 -975
115 855 295
185 342 -707
526 86 708
581 383 482
140 261 747
38 566 -607
316 238 -743
432 815 357
410 204 105
243 475 -668
604 578 697
669 268 649
791 834 428
309 341 -39
539 452 985
60 851 -316
757 487 -800
509 547 -26
103 68 252
384 407 -852
123 783 139
854 663 -384
221 89 774
65 544 -384
357 671 -518
80 596 -142
255 571 586
498 47 -4
703 847 632
412 584 952
827 727 697
313 811 -516
