802 2569
748 707 141
754 354 641
573 303 542
282 645 214
516 98 748
700 298 304
595 483 731
660 310 960
569 281 753
348 239 139
237 618 916
220 602 498
314 330 879
772 524 37
317 475 858
220 733 80
689 543 813
681 391 559
735 332 409
753 440 287
703 390 624
279 610 745
348 778 817
601 253 401
100 534 268
102 785 263
388 96 587
310 713 553
335 717 96
96 317 810
257 419 99
74 605 379
125 482 552
52 145 783
650 660 72
513 577 501
414 144 232
597 680 143
722 33 966
16 401 451
158 47 126
1 762 421
215 635 374
651 478 185
35 645 744
343 508 946
516 453 734
352 354 944
5 439 743
208 28 122
386 665 326
632 267 685
307 298 404
765 709 170
229 559 230
707 90 578
698 761 737
788 721 367
644 800 79
484 766 570
784 799 62
263 185 286
354 512 729
49 593 898
333 180 6
287 61 588
221 124 137
498 608 65
178 43 864
476 71 107
158 435 903
757 479 713
791 484 548
150 356 334
379 281 721
533 444 748
59 323 283
275 187 816
277 347 995
73 445 313
550 291 735
401 173 832
386 92 46
519 451 597
249 632 865
129 157 391
321 470 530
291 287 922
350 185 548
405 465 69
488 528 152
434 107 299
197 702 94
158 660 733
412 587 541
644 207 595
734 400 846
248 629 250
323 473 244
717 74 82
766 484 211
712 429 712
447 588 435
704 427 60
5 488 427
149 482 812
154 457 330
465 686 783
608 169 992
297 732 587
195 60 208
84 726 748
645 327 937
247 20 165
542 394 917
401 491 101
648 435 69
24 80 785
454 727 889
540 151 566
232 603 937
724 608 924
737 96 558
387 245 45
265 325 841
448 734 767
459 534 86
617 716 675
302 268 769
365 536 389
288 315 360
281 277 817
763 233 420
59 791 600
646 14 975
544 222 230
370 157 393
518 174 689
350 692 668
322 520 181
452 234 433
486 119 477
749 174 469
251 168 860
288 180 122
433 681 634
723 173 681
246 146 263
651 555 382
664 638 172
305 147 751
39 796 512
759 353 5
178 371 201
522 516 34
154 757 783
553 554 602
334 756 49
507 313 948
725 680 196
537 692 573
551 1 994
401 196 587
771 732 346
624 668 227
572 434 554
449 610 621
792 541 623
93 652 13
222 54 126
251 212 556
162 403 891
378 627 732
757 616 913
695 191 949
502 507 240
226 291 315
48 471 420
564 86 406
393 214 314
669 37 220
121 489 385
470 474 281
745 420 196
411 264 262
150 67 860
318 395 723
413 175 280
698 618 967
34 72 420
616 764 125
333 155 411
715 414 559
410 166 72
138 480 539
794 56 145
658 751 762
651 41 814
52 342 73
546 612 275
201 86 20
84 1 451
736 599 266
615 428 915
18 57 398
734 11 625
651 400 884
466 560 894
674 346 377
655 701 810
228 504 300
334 515 44
737 797 335
188 355 568
677 543 789
486 19 33
37 354 483
317 659 519
219 361 607
460 656 735
765 617 597
497 267 579
649 765 50
585 736 223
640 178 880
183 773 425
486 568 356
357 384 569
611 335 608
781 624 684
29 14 391
667 394 915
131 642 484
458 271 405
606 275 466
765 506 122
485 682 527
245 689 506
282 549 310
210 780 904
760 517 835
328 608 561
335 706 503
21 154 838
359 436 288
104 17 463
167 776 306
601 214 832
596 69 194
119 175 6
463 643 319
221 450 157
440 583 793
11 640 469
729 291 612
771 49 246
776 194 401
682 448 781
325 118 802
138 394 335
174 798 993
602 53 255
356 455 374
473 538 369
268 195 897
733 373 38
18 59 398
767 125 383
644 786 974
277 295 198
681 181 853
113 351 253
652 388 610
109 160 95
447 341 558
666 605 82
483 456 56
620 643 258
26 600 188
226 687 120
343 668 947
356 617 393
609 66 728
48 257 358
553 497 880
164 141 807
791 473 670
715 339 885
395 581 130
463 432 926
413 326 105
685 296 302
603 63 666
712 362 717
427 29 264
604 453 106
707 100 842
245 781 120
121 564 627
114 213 965
72 152 282
385 308 160
312 107 836
230 151 610
426 112 72
188 197 602
36 488 18
17 443 561
183 74 835
54 783 952
244 82 276
196 412 531
685 287 984
714 26 958
68 672 439
126 730 583
124 576 677
452 618 14
712 185 980
591 400 187
719 388 286
303 696 50
395 669 604
35 93 688
537 494 618
713 22 409
740 115 676
449 514 81
330 481 268
245 102 488
26 253 599
352 749 608
257 739 277
646 610 542
413 765 166
722 349 620
52 17 584
769 446 210
233 574 724
155 705 648
254 630 125
533 6 465
617 38 188
458 344 831
167 643 987
380 637 571
722 634 801
229 642 179
415 169 403
410 297 977
783 250 147
85 68 774
417 103 505
534 684 805
455 596 685
307 49 412
34 575 913
560 668 763
351 384 384
57 129 963
114 590 771
177 594 217
768 690 84
624 513 367
168 204 295
39 503 904
301 566 594
535 493 738
514 392 199
367 2 959
390 783 961
582 382 822
175 562 414
223 106 134
506 584 351
33 96 707
300 166 202
387 761 447
529 659 68
23 86 540
34 217 401
36 694 895
112 248 594
55 643 47
193 522 791
155 167 131
165 684 240
466 377 135
357 426 879
309 257 335
687 588 150
680 147 695
462 383 466
449 322 852
61 233 623
165 586 531
263 312 313
592 5 535
168 583 212
408 739 786
710 50 971
682 252 696
610 89 306
447 79 106
145 143 619
672 295 840
295 356 165
416 170 714
744 194 979
217 678 474
635 669 109
340 292 32
523 427 7
283 67 397
549 523 686
604 544 182
620 473 772
743 569 972
800 83 624
602 56 476
579 605 589
507 704 968
733 345 972
727 65 94
416 163 838
534 124 822
154 288 584
251 5 15
95 458 28
175 710 100
40 776 775
761 55 327
391 80 622
547 85 858
639 590 541
101 715 238
734 557 530
278 240 902
229 532 276
273 160 279
376 521 134
453 155 376
504 526 775
42 37 330
494 186 792
286 73 188
485 260 249
8 663 449
253 122 202
656 278 325
7 506 569
303 123 633
428 685 450
424 782 426
652 553 26
195 81 821
632 74 552
127 631 660
239 160 615
75 184 182
291 634 280
382 269 290
617 394 928
209 593 765
658 228 530
367 178 321
179 638 426
492 29 762
4 375 656
753 589 2
13 673 641
70 131 45
71 600 916
40 501 704
467 635 560
377 499 449
125 179 679
91 278 795
303 456 888
197 245 315
367 202 31
731 394 468
752 703 125
331 255 345
532 105 806
62 408 991
319 49 698
471 674 862
264 487 593
158 89 52
411 779 84
402 801 146
792 624 428
146 122 203
87 763 728
792 217 81
96 354 954
646 180 373
651 320 876
716 45 526
438 509 606
595 392 894
430 248 962
161 174 19
478 32 980
470 713 192
222 561 421
756 758 843
357 394 750
499 386 971
7 579 231
21 199 263
184 772 926
353 569 186
602 131 948
802 652 617
139 576 561
477 385 79
159 95 688
46 503 76
27 490 497
557 20 887
551 413 550
110 239 928
607 654 55
688 14 285
86 450 731
689 587 55
616 687 145
