18
960 877
519 456 -157
238 783 404
188 880 -648
316 173 230
844 126 -388
550 624 -451
313 831 503
500 579 -521
290 900 -307
912 881 -934
896 53 518
793 877 -962
779 617 581
214 96 -952
436 788 324
172 787 -20
619 175 780
35 484 170
444 788 -133
611 380 -81
283 843 222
375 838 743
343 733 -492
99 764 709
648 810 -391
708 208 -236
383 151 -465
753 279 -41
702 614 474
42 465 514
22 297 -609
148 943 -895
230 448 -992
598 575 -476
152 744 672
843 511 891
94 810 -189
100 400 -711
689 493 388
573 598 238
231 285 882
742 154 -572
217 905 -384
725 617 -307
734 135 387
772 186 -78
714 783 370
661 208 471
536 434 -930
73 175 829
241 32 880
130 236 -651
907 224 -651
640 281 521
622 313 -46
41 91 -193
489 592 614
613 843 402
511 395 -13
577 80 -122
644 853 -375
567 176 -643
280 738 -839
474 792 -138
138 953 313
464 214 852
806 358 805
273 891 715
181 868 97
603 387 -616
743 841 -261
712 770 654
785 666 -371
807 644 -452
889 822 -259
810 187 6
603 598 648
232 739 -390
173 228 -370
371 678 511
103 167 327
714 451 -63
955 682 -402
530 151 -277
377 434 -552
34 637 -343
832 441 733
177 460 658
182 780 62
132 738 -377
252 608 -981
210 717 -219
123 141 -659
683 585 -283
952 96 -674
314 273 360
231 39 799
79 237 -429
862 297 -911
269 806 -422
262 378 -232
546 915 482
75 781 -160
653 38 98
885 490 733
58 841 35
667 275 893
384 218 522
508 11 916
810 305 -92
889 278 -56
147 452 274
911 578 635
65 339 988
502 909 356
948 757 -754
57 930 437
114 314 512
647 707 245
181 206 894
613 633 265
662 671 38
178 252 -856
324 549 -986
444 938 673
208 171 481
924 492 629
641 721 -298
399 90 -994
482 697 -538
521 922 847
704 691 206
869 682 848
241 719 482
662 885 940
919 752 117
366 743 -950
956 762 73
534 15 -626
486 27 321
23 360 220
807 696 87
100 87 -320
679 363 492
683 26 837
279 878 -777
295 223 603
297 358 -923
188 605 -506
305 228 -724
257 636 -424
576 587 -687
913 745 -805
956 715 -759
673 71 -398
825 50 -649
907 486 -640
797 137 486
300 781 97
505 62 -274
949 289 203
808 338 569
87 690 856
305 600 86
509 325 528
653 782 864
853 701 867
497 879 -222
561 586 -392
216 27 -923
903 512 -86
451 644 -839
422 641 -337
801 531 697
246 720 796
684 666 -273
39 732 -799
785 777 961
910 162 -56
169 102 -768
660 200 -859
941 619 -699
445 750 13
273 195 819
888 351 -937
401 807 844
250 892 -9
605 947 66
18 666 -247
67 96 17
69 717 -608
280 873 376
187 213 394
262 567 -567
235 406 945
148 695 100
769 601 213
281 909 664
613 153 159
579 944 581
519 128 612
438 197 424
610 465 -605
918 919 -770
433 517 548
70 549 -339
695 350 583
184 793 689
424 131 -536
269 202 -379
462 745 885
524 137 -967
347 385 604
183 744 -909
925 872 218
834 956 -197
515 715 664
603 855 869
429 792 -311
319 185 710
807 695 -272
494 808 -755
36 788 220
51 600 969
302 956 -17
761 211 582
17 747 824
594 269 -644
306 26 998
947 221 -206
149 604 816
636 543 563
518 280 -743
672 676 -828
61 623 -158
511 112 -762
924 30 11
616 675 -574
940 661 879
494 272 -305
498 494 -683
722 211 420
139 672 -612
311 693 62
37 846 -202
550 527 775
360 131 157
404 750 852
569 197 597
119 286 -875
780 218 -592
373 490 655
615 342 84
855 570 286
583 366 841
423 509 -35
66 250 -73
470 907 350
881 90 764
518 938 -187
917 121 636
319 90 -499
518 321 -697
171 864 748
204 503 -767
665 425 -617
925 312 -697
226 585 334
684 177 51
207 702 915
249 75 -560
674 506 -330
945 736 -197
728 849 584
527 230 343
9 37 -884
293 421 232
840 523 170
880 403 -659
807 947 -191
844 375 -239
280 943 792
485 396 855
168 942 219
340 66 -930
788 79 -456
10 352 27
760 467 -466
48 375 -817
896 403 -313
594 796 664
323 548 874
465 590 -160
549 840 114
670 399 109
863 574 642
180 389 -938
743 148 49
120 609 -662
139 287 -604
73 245 -899
608 171 781
868 348 58
177 786 933
819 225 -328
288 622 521
82 737 111
165 910 -377
67 306 518
566 706 700
881 312 240
83 923 -551
697 88 525
204 770 499
546 620 -910
956 309 288
661 464 -807
833 536 -396
19 823 -2
89 373 -169
486 665 -123
616 412 -102
630 260 -270
586 745 840
217 204 -629
583 685 -899
450 872 805
448 714 -209
849 960 -983
177 47 -889
672 408 470
689 324 730
223 845 -666
515 316 932
115 932 987
878 247 121
190 360 -533
582 345 -894
373 439 -562
508 516 63
310 104 487
209 69 -833
926 159 508
95 873 -593
774 749 156
329 177 266
823 246 -457
318 475 154
958 692 -123
823 319 334
496 555 -612
856 870 -999
685 495 828
865 724 980
225 656 859
576 21 410
610 103 -843
320 794 773
819 779 -885
448 327 236
445 728 -657
885 663 -577
49 692 -186
776 850 826
676 933 -26
469 861 -12
904 422 46
146 829 -469
168 620 693
862 789 -669
337 249 -757
747 514 693
915 64 701
348 652 386
267 321 -466
478 620 954
860 469 -748
551 924 -157
433 461 -785
716 580 -868
307 502 -2
318 288 575
588 682 777
76 56 -496
312 595 746
652 123 -695
233 307 -391
808 794 578
951 321 178
314 157 388
56 772 -345
487 160 191
790 636 -374
919 623 -361
51 692 281
425 176 -890
79 155 -323
904 379 581
870 806 474
647 749 -864
617 485 -120
789 201 921
608 137 -350
540 353 825
431 187 204
874 486 -415
376 599 -355
487 412 374
874 362 608
596 737 438
875 661 -844
224 452 -904
448 754 -461
752 947 811
265 343 638
129 307 -569
659 831 -61
362 760 -274
581 550 -982
1 412 233
808 5 633
392 661 -971
498 600 343
74 767 8
689 372 633
762 680 392
952 497 -483
338 527 -38
349 132 361
135 452 190
563 837 -479
140 779 -605
205 462 380
824 854 -412
570 331 -380
692 154 290
87 762 383
198 911 -176
493 446 -494
207 114 393
527 416 580
853 116 407
620 426 -596
142 450 839
892 879 964
257 444 -996
807 324 31
181 871 979
214 803 466
781 625 -324
363 65 -952
679 185 981
463 926 -66
945 898 -979
457 249 361
323 666 -835
115 391 203
234 145 99
756 593 264
682 16 -330
743 25 -183
429 377 957
92 582 -49
779 527 449
623 3 -772
759 265 -572
446 655 -286
576 401 13
307 823 726
232 871 350
372 123 -920
40 927 555
278 101 828
365 47 -410
441 947 -817
629 403 -691
148 17 -760
907 343 532
580 497 183
563 905 -735
583 874 -62
672 749 841
586 253 858
125 893 -892
113 925 -727
765 879 -900
691 367 179
627 875 -595
918 419 -888
439 391 542
127 389 -370
176 604 -155
65 480 951
679 311 -688
515 26 -698
587 785 -636
101 757 446
446 214 -370
379 48 -100
459 600 -357
208 146 704
917 196 158
690 379 -841
664 405 295
523 887 -816
338 499 -945
661 366 402
226 814 385
946 339 -604
355 664 663
914 570 -331
950 128 -883
627 644 909
715 277 124
746 953 907
758 345 206
265 777 339
31 242 670
768 559 699
245 766 577
621 849 -452
632 525 367
803 570 507
462 218 -472
652 161 330
434 782 -552
127 186 -206
409 793 -493
101 125 945
492 592 525
343 175 -474
308 409 -414
816 833 -820
673 955 785
800 666 -950
468 394 936
877 696 -331
353 645 524
845 576 -570
363 177 -678
738 163 918
865 241 807
153 396 871
83 499 765
113 272 259
96 794 927
249 707 -326
814 583 -745
843 929 -554
527 190 866
625 467 8
883 922 210
861 89 -310
785 529 -700
188 529 -232
838 834 318
190 404 -167
488 509 614
108 529 948
182 844 195
28 124 -817
794 936 -39
565 86 -814
38 611 -279
307 764 845
145 624 -25
784 425 500
670 499 -484
573 879 301
11 182 -409
885 718 -243
741 658 279
