9785 26820
5176 4858 -690
8415 5701 970
8998 5604 -213
8810 6755 249
1796 6827 379
4179 8657 523
8856 6757 69
3847 2441 -559
822 7743 100
1133 9402 -852
2040 870 666
7732 9284 -78
5653 4506 24
5462 8292 -257
2391 9297 126
9129 8661 -957
3645 945 -160
3358 3154 -300
1521 8687 -684
4049 8736 108
8801 8808 -458
5348 228 -449
6263 7536 -892
5259 6772 -291
2804 3913 -479
3032 9041 -76
4065 366 -287
5679 6621 -335
2727 5299 -630
797 8636 90
13 3585 -382
2937 5488 823
1801 8419 669
2985 8518 26
2448 991 501
180 7431 -984
202 6382 952
2945 8493 635
3900 9273 545
2739 3049 -690
5236 5267 -263
9535 8571 166
7939 8755 790
6719 2778 630
3420 8619 322
2557 2758 289
2172 6440 -897
5154 5662 -686
179 2421 -918
1957 4710 -419
4802 4232 901
239 2024 219
3969 8295 411
1879 8879 -958
70 6676 -196
1081 1624 186
1443 1844 -489
6121 3057 750
5312 3137 -722
9352 6247 203
925 3103 918
1588 8678 22
847 9286 -547
6787 5721 14
4629 4665 860
8996 3948 10
1201 6985 893
9016 4738 528
435 8705 553
3652 6943 -729
8927 7619 785
6048 4253 117
6605 7851 -978
5941 3353 580
4428 1042 -451
5633 4448 -691
806 305 -130
3356 3801 -373
4911 1106 434
7693 5443 -672
7084 3126 30
8302 4212 315
225 4769 492
9002 382 -83
4916 6202 800
6238 505 732
1574 2047 -22
9259 3883 332
196 5051 -518
1578 5365 -983
1800 5882 -981
879 1747 779
3107 6914 505
9099 8148 -664
4529 4436 -292
8706 3883 -104
1441 4373 -31
4034 5407 -604
8557 1925 -441
9370 6241 60
6461 2344 599
4351 9551 913
7287 4136 384
5882 9009 781
2605 4261 -129
689 697 -623
1090 1328 528
4488 1121 -748
9099 5425 583
2965 8390 -841
934 6947 -99
5190 6711 967
9067 1938 898
1613 3475 230
9048 3952 774
1148 937 68
8247 8510 221
2518 1439 -2
4336 2676 -435
3375 1507 -506
1247 5207 -779
2944 1228 -159
270 8677 -178
5891 4771 -582
8458 1724 -274
6503 9154 -110
1216 3668 344
4456 1017 -967
3921 8607 518
7624 7406 -159
9308 3886 -821
6719 2111 902
3996 7576 494
2791 3777 975
825 4500 800
5748 7053 -571
3129 1210 512
1742 3980 -94
6947 30 382
8646 6383 -64
9135 4678 -778
4012 2753 397
2180 2888 -942
4077 6617 527
3813 266 186
5207 489 506
5480 4096 191
287 74 -487
6734 6410 131
4855 9375 -291
4709 5197 -326
6027 3799 -993
297 2987 -35
6011 3147 64
4842 4267 -575
5950 1961 -63
6941 8382 166
3056 5920 250
1700 4530 -692
998 7199 -77
1022 7885 560
8125 8192 204
5730 9587 -101
5459 9697 517
3280 9100 -94
1353 4348 -287
4795 1860 -426
7741 4531 320
6669 4859 -447
7511 2380 679
3186 3142 -973
3974 1131 444
9153 3662 -680
2288 6944 381
8954 5879 534
1529 6451 983
4232 1491 -641
4739 2231 636
2711 7836 -410
4475 8163 -887
